id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
demo_000000,1,2016-01-17 01:33:00,2016-01-17 01:45:45.141958459,6,-73.97550001653705,40.74483635333042,-73.95416098753961,40.72454246816097,N,765
demo_000001,1,2016-05-19 07:29:00,2016-05-19 07:47:25.871548824,6,-73.92886581484294,40.74196713694162,-73.89292127511317,40.746230650552654,N,1105
demo_000002,1,2016-04-27 19:44:00,2016-04-27 19:49:47.424708418,2,-73.93398789388974,40.784913805505084,-73.93314787243594,40.79101425824549,N,347
demo_000003,1,2016-03-19 23:57:00,2016-03-20 00:12:42.686114795,6,-73.98465177495103,40.78666864591193,-73.98258695727817,40.75233283894584,N,942
demo_000004,1,2016-03-18 22:37:00,2016-03-18 22:49:21.628244709,3,-74.09015336193607,40.73927194963182,-74.10278818944786,40.71570749825375,N,741
demo_000005,2,2016-06-03 13:08:00,2016-06-03 13:20:19.933253675,6,-74.03475975328469,40.74388930630745,-74.05234521285321,40.721979279158994,N,739
demo_000006,1,2016-01-16 11:17:00,2016-01-16 11:31:16.558208100,1,-73.9506499649427,40.776939579337636,-73.98283502098857,40.772059415518534,N,856
demo_000007,2,2016-05-05 12:37:00,2016-05-05 13:07:26.083972353,6,-74.05476131391283,40.72903455157429,-74.10924404481119,40.782621328921145,N,1826
demo_000008,1,2016-02-06 06:20:00,2016-02-06 06:35:15.136327158,2,-73.99970116648642,40.743631310419474,-74.02428680008015,40.71843525964764,N,915
demo_000009,1,2016-01-17 22:50:00,2016-01-17 23:04:37.409045214,2,-73.969768372384,40.761135746857896,-73.93812652202708,40.73475788536323,N,877
demo_000010,1,2016-04-04 18:23:00,2016-04-04 18:42:09.932691588,4,-73.91886931869072,40.79285785396878,-73.93372391168512,40.762263065999896,N,1149
demo_000011,1,2016-06-24 14:41:00,2016-06-24 14:50:23.006904422,4,-74.01087588634044,40.736839048433716,-74.02298654026974,40.75399875185725,N,563
demo_000012,2,2016-05-12 10:27:00,2016-05-12 10:34:28.573463821,1,-74.01395694690873,40.69351654382893,-74.02674892889874,40.69240032072734,N,448
demo_000013,1,2016-05-17 00:07:00,2016-05-17 00:25:13.922232844,4,-73.9873600594923,40.69091908863687,-73.94379529118815,40.66672097183628,N,1093
demo_000014,1,2016-05-09 03:30:00,2016-05-09 03:41:37.426076390,5,-73.96920891635854,40.713920542665285,-74.00170230632713,40.70412506190327,N,697
demo_000015,2,2016-05-21 11:47:00,2016-05-21 12:00:57.182457954,3,-73.99194110723282,40.71203912986301,-73.98224424038916,40.69066835173715,N,837
demo_000016,2,2016-04-02 09:08:00,2016-04-02 09:14:58.473787562,4,-73.93778292430014,40.752588623448304,-73.94017923897509,40.760577688040414,N,418
demo_000017,2,2016-01-24 01:27:00,2016-01-24 01:55:41.150305271,6,-74.02096147248628,40.716389194624085,-74.01858403360797,40.78886736300758,N,1721
demo_000018,1,2016-05-31 03:42:00,2016-05-31 03:53:46.368831357,2,-73.97959275799795,40.73340357640626,-73.97104049374887,40.74827691535995,N,706
demo_000019,1,2016-03-22 01:40:00,2016-03-22 01:45:13.967825632,2,-73.96496542803888,40.73090699402563,-73.9629646551295,40.72839630411773,N,313
demo_000020,1,2016-03-31 01:31:00,2016-03-31 01:43:32.867561034,6,-74.00301047644577,40.742582224870326,-73.97525471041298,40.72462788670815,N,752
demo_000021,1,2016-03-07 17:50:00,2016-03-07 18:10:45.259461265,1,-73.9472130528548,40.80428765160331,-73.94823705933351,40.76801584939242,N,1245
demo_000022,2,2016-02-02 20:36:00,2016-02-02 20:57:01.911228715,2,-73.9782968656441,40.78116816563007,-73.91724369187419,40.80097778837795,N,1261
demo_000023,1,2016-06-15 19:37:00,2016-06-15 19:51:01.944530047,2,-73.94950194290814,40.75856452953466,-73.9479451450443,40.77690709235055,N,841
demo_000024,1,2016-05-20 16:22:00,2016-05-20 16:49:01.311428910,5,-73.97626531513781,40.741864080179674,-74.03588665602882,40.72927935326902,N,1621
demo_000025,2,2016-04-25 21:29:00,2016-04-25 21:44:33.849874824,1,-73.96806179428307,40.7428368570182,-73.94572093174804,40.77559687455765,N,933
demo_000026,2,2016-03-13 10:25:00,2016-03-13 10:32:19.772564607,3,-74.01345762905822,40.76947112644832,-73.99973424087413,40.77004101379822,N,439
demo_000027,1,2016-05-28 02:19:00,2016-05-28 02:29:10.023676243,3,-74.0133847267336,40.77844591756733,-74.01224565062194,40.799364457423,N,610
demo_000028,2,2016-04-08 04:15:00,2016-04-08 04:21:42.010879830,1,-73.92990215840321,40.726233387286484,-73.93898715444995,40.73423070634138,N,402
